Mission ID,Distance [m],Elevation [m],Cargo [kg],Battery Level,Time of Day [h],Traffic Level,Mode,Energy [kJ]
1204,105.84,-0.8,2.32,0.731,1.0,low,normal,214.428
1205,,2.0,0.72,0.587,8.0,low,normal,339.313
1206,34.33,3.1,5.48,0.236,15.0,low,normal,313.806
1207,142.59,-1.3,8.09,0.843,8.0,low,normal,441.891
1208,138.29,-1.4,5.99,0.266,12.0,medium,normal,479.335
1209,67.16,1.7,1.41,0.447,17.0,low,normal,175.997
1210,253.4,-2.3,2.64,0.697,3.0,medium,normal,536.708
1211,143.12,2.6,4.81,0.487,18.0,,normal,461.931
1212,222.03,-2.6,4.57,0.631,21.0,medium,priority,630.193
1213,141.74,4.6,3.72,0.79,13.0,medium,normal,607.464
1214,107.9,-2.8,0.0,0.391,23.0,low,normal,250.98
1215,42.91,-1.4,3.85,0.722,10.0,high,normal,215.313
1216,244.56,-4.8,6.77,0.932,1.0,low,normal,785.005
1217,187.92,-0.5,0.5,0.594,16.0,medium,normal,282.965
1218,64.59,2.1,9.26,0.73,21.0,low,priority,445.899
1219,67.9,0.1,2.03,0.492,8.0,low,priority,151.323
1220,30.59,0.2,2.79,0.341,17.0,medium,normal,105.144
1221,52.61,2.0,3.19,0.647,0.0,low,priority,268.404
1222,272.51,0.7,6.13,0.566,11.0,low,normal,651.995
1223,195.31,3.8,5.67,0.669,14.0,medium,normal,760.423
1224,139.25,-0.8,2.15,0.587,6.0,medium,normal,275.281
1225,114.4,-0.5,0.0,0.692,18.0,medium,normal,140.035
1226,261.96,5.7,0.49,0.862,21.0,low,normal,578.208
1227,89.88,,0.0,0.56,11.0,medium,normal,184.504
1228,227.53,3.1,3.26,0.868,16.0,high,normal,670.368
1229,201.74,-0.2,1.7,0.859,19.0,low,priority,327.528
1230,145.69,-0.7,3.52,0.312,0.0,medium,normal,298.901
1231,275.55,4.2,2.27,0.579,1.0,low,normal,610.872
1232,133.27,1.1,1.14,0.664,2.0,low,normal,225.561
1233,168.69,1.9,2.69,0.474,8.0,medium,priority,428.466
1234,95.46,-4.0,2.63,0.657,0.0,medium,normal,397.983
1235,121.51,1.1,0.0,0.721,2.0,low,normal,186.915
1236,114.05,2.8,1.66,0.653,23.0,low,normal,301.862
1237,148.1,-2.4,0.0,0.761,21.0,medium,normal,326.964
1238,179.22,-1.2,3.6,0.923,6.0,medium,priority,431.687
1239,148.48,-1.1,0.0,0.74,15.0,medium,normal,256.111
1240,170.93,-0.6,8.4,0.875,2.0,low,normal,490.82
1241,165.28,0.3,3.35,0.44,15.0,medium,normal,362.312
1242,92.19,-0.5,3.37,0.402,17.0,low,priority,244.958
1243,116.31,1.1,0.38,0.236,16.0,high,normal,216.448
1244,80.41,3.2,1.36,0.814,13.0,high,priority,381.318
1245,62.81,-1.0,5.57,0.604,3.0,low,priority,220.801
1246,251.74,-0.8,2.36,0.662,3.0,low,normal,405.695
1247,176.71,-1.1,5.71,0.78,17.0,medium,normal,504.077
1248,273.74,3.9,3.96,0.245,7.0,low,normal,676.76
1249,52.94,0.8,7.28,0.496,14.0,high,priority,352.594
1250,73.29,-1.4,0.82,0.427,7.0,low,normal,173.841
1251,102.52,-3.1,3.28,0.495,0.0,low,normal,322.218
1252,268.52,-1.9,2.39,0.979,6.0,medium,normal,497.926
1253,214.88,3.0,1.35,0.524,1.0,low,normal,418.826
1254,200.79,-0.4,7.05,0.419,10.0,high,normal,629.637
1255,48.55,-3.2,2.26,0.785,6.0,low,normal,235.406
1256,123.96,0.9,6.7,0.529,23.0,medium,,424.425
1257,87.61,0.2,2.23,0.626,10.0,low,normal,208.466
1258,205.64,-2.5,5.76,,2.0,medium,priority,646.785
1259,83.84,1.1,0.62,0.788,15.0,medium,priority,189.911
1260,71.93,-2.8,1.87,0.94,0.0,medium,normal,255.294
1261,37.39,-1.0,5.69,0.889,11.0,high,normal,225.033
1262,54.57,-3.4,1.98,0.778,10.0,high,normal,324.444
1263,108.45,0.6,5.51,0.885,12.0,medium,normal,351.411
1264,177.92,-4.2,1.54,0.692,11.0,high,normal,536.065
1265,34.04,-0.3,4.8,0.731,23.0,low,normal,147.09
1266,33.5,-2.9,2.45,0.662,11.0,medium,normal,264.903
1267,133.37,3.1,0.99,0.724,1.0,low,priority,349.812
1268,103.36,-1.0,7.11,0.883,9.0,low,normal,369.882
1269,173.81,-1.2,0.8,0.855,18.0,medium,priority,309.794
1270,180.98,-0.8,11.72,0.773,9.0,high,normal,789.275
1271,95.17,-0.8,3.66,0.597,22.0,medium,normal,220.891
1272,107.94,3.8,2.72,0.477,6.0,low,normal,349.826
1273,208.57,1.2,3.19,0.765,16.0,medium,normal,446.74
1274,79.36,-0.4,6.39,0.757,8.0,low,normal,248.37
1275,193.73,-2.6,3.19,0.649,22.0,low,priority,520.904
1276,117.88,-2.0,1.99,0.394,9.0,high,normal,366.958
1277,115.2,3.8,0.0,0.747,18.0,medium,normal,325.822
1278,155.44,4.3,5.57,0.824,19.0,low,priority,675.636
1279,102.95,-2.1,5.9,0.884,19.0,low,normal,340.56
1280,100.94,2.3,4.11,0.822,5.0,medium,normal,393.043
1281,221.37,-0.1,0.16,0.841,11.0,medium,normal,296.78
1282,97.75,0.5,5.08,0.739,21.0,low,normal,250.927
1283,200.55,-2.5,0.0,0.566,17.0,medium,normal,393.487
1284,127.6,-0.3,2.22,0.416,4.0,low,normal,202.393
1285,309.0,-1.5,2.26,0.68,16.0,low,normal,561.283
1286,43.31,1.2,5.01,0.666,8.0,low,priority,223.978
1287,106.38,-6.0,1.64,0.64,21.0,high,normal,471.516
1288,191.83,0.0,7.03,0.665,1.0,medium,priority,521.494
1289,131.37,5.0,0.0,0.555,16.0,low,priority,474.421
1290,78.95,2.3,4.21,0.932,0.0,low,priority,322.543
1291,100.5,0.2,5.64,0.797,6.0,low,normal,262.207
1292,158.96,0.1,7.52,0.398,16.0,medium,normal,485.297
1293,119.43,-2.2,3.11,0.828,1.0,low,normal,298.444
1294,75.08,-1.7,6.78,0.783,16.0,low,normal,351.827
1295,359.0,-2.7,2.65,0.704,21.0,low,normal,659.105
1296,84.34,-0.1,2.33,0.526,11.0,medium,normal,196.479
1297,236.06,-0.8,1.84,0.746,6.0,low,normal,384.421
1298,163.79,3.6,10.11,0.298,11.0,medium,normal,877.267
1299,115.49,-0.4,4.94,0.63,8.0,low,normal,251.975
1300,183.57,-1.2,1.92,0.367,15.0,high,normal,421.775
1301,90.15,-2.0,4.53,0.992,18.0,low,normal,325.555
1302,54.48,1.3,0.0,0.344,3.0,medium,normal,154.137
1303,80.25,4.4,2.81,0.831,5.0,low,normal,387.363
1304,101.35,-0.9,6.82,0.831,15.0,medium,priority,440.745
1305,255.8,1.5,1.53,0.414,17.0,medium,normal,457.789
1306,202.92,-2.3,5.7,0.96,13.0,medium,normal,647.76
1307,153.87,-1.4,1.68,0.623,16.0,medium,,323.511
1308,275.48,0.7,6.12,0.794,23.0,,normal,616.174
1309,219.77,1.1,4.81,0.717,5.0,low,priority,542.735
1310,111.04,-2.4,1.89,0.698,5.0,low,normal,283.341
1311,134.13,-0.9,0.0,0.446,15.0,medium,normal,229.488
1312,143.7,-1.3,5.09,0.845,1.0,low,priority,404.045
1313,113.35,-1.6,3.45,0.653,11.0,medium,normal,337.313
1314,41.3,-1.3,4.39,0.875,19.0,medium,normal,187.039
1315,55.23,-0.8,3.54,0.566,15.0,medium,normal,180.639
1316,83.62,-1.4,0.0,0.798,23.0,medium,normal,168.487
1317,257.85,2.4,1.57,0.626,19.0,low,normal,476.024
1318,76.93,-2.3,3.14,0.644,11.0,medium,normal,307.037
1319,122.26,-0.8,9.09,0.922,11.0,high,normal,542.803
1320,58.96,-2.1,9.63,0.828,12.0,medium,normal,412.885
1321,131.0,-2.6,0.0,0.836,19.0,low,normal,274.17
1322,84.63,1.4,1.66,0.814,13.0,low,normal,211.825
1323,146.37,-0.1,5.55,0.633,21.0,medium,normal,366.573
1324,106.15,-3.9,5.91,0.493,7.0,low,normal,459.343
1325,89.93,-2.7,1.07,0.436,19.0,low,normal,241.797
1326,44.21,2.3,8.46,0.801,13.0,high,normal,435.042
1327,205.49,1.1,8.35,0.618,18.0,low,normal,591.745
1328,217.15,0.1,9.91,0.334,11.0,high,normal,778.095
1329,120.42,,3.47,0.698,10.0,high,normal,398.78
1330,38.66,-1.0,3.78,0.689,5.0,,,175.151
1331,187.82,0.3,7.64,0.815,18.0,medium,normal,483.784
1332,212.27,0.1,3.0,0.57,13.0,low,normal,392.273
1333,91.97,-2.0,2.44,0.429,7.0,low,normal,253.096
1334,,1.4,4.25,0.865,6.0,medium,normal,317.717
1335,181.97,-2.2,0.0,0.52,15.0,high,normal,382.156
1336,150.66,0.6,3.79,0.841,17.0,medium,normal,381.725
1337,223.96,-0.4,1.6,0.581,15.0,medium,priority,420.917
1338,265.16,0.8,,0.791,15.0,medium,normal,376.811
1339,57.34,-1.4,5.15,0.689,,medium,normal,266.998
1340,132.91,-1.9,4.31,0.756,9.0,high,normal,483.401
1341,149.94,0.2,3.79,0.73,5.0,medium,normal,318.781
1342,289.65,-1.7,1.24,0.668,22.0,low,normal,459.256
1343,132.33,0.0,4.34,0.894,3.0,low,normal,244.218
1344,148.34,2.3,2.2,0.755,5.0,medium,normal,375.873
1345,179.85,-3.0,0.0,0.882,5.0,low,normal,350.909
1346,126.41,-0.9,8.26,0.687,7.0,low,normal,432.304
1347,322.45,3.8,0.87,0.94,14.0,low,priority,698.604
1348,81.45,1.2,8.28,0.647,7.0,medium,normal,391.276
1349,122.55,0.4,,0.763,6.0,medium,normal,391.882
1350,284.83,2.5,5.03,0.536,10.0,medium,normal,796.98
1351,164.95,1.5,3.35,0.81,10.0,medium,normal,422.64
1352,146.99,3.2,9.38,0.567,22.0,low,normal,658.602
1353,85.08,3.9,5.88,0.624,7.0,medium,normal,480.2
1354,95.41,-2.3,2.11,0.697,0.0,low,normal,251.441
1355,80.07,-5.2,3.32,0.787,7.0,low,normal,391.57
1356,146.09,1.5,7.28,0.625,7.0,medium,normal,515.563
1357,163.22,0.7,5.59,0.865,0.0,low,normal,386.838
1358,142.15,-1.8,2.2,0.726,12.0,medium,normal,370.76
1359,100.43,0.8,3.78,0.328,13.0,medium,normal,304.021
1360,219.71,-1.2,2.35,0.417,5.0,low,normal,403.476
1361,46.49,1.2,4.24,0.416,3.0,low,normal,197.736
1362,116.53,1.1,2.31,0.836,3.0,low,normal,246.806
1363,251.16,-0.9,2.1,0.749,15.0,medium,normal,471.913
1364,270.13,-0.8,1.87,0.867,6.0,low,normal,392.919
1365,158.0,1.0,5.91,0.983,11.0,medium,normal,475.402
1366,63.74,1.4,1.65,0.754,2.0,low,normal,204.306
1367,288.99,0.7,5.39,0.437,13.0,medium,priority,739.991
1368,62.34,4.1,2.1,0.809,19.0,low,priority,330.498
1369,156.65,1.8,1.08,0.607,2.0,low,normal,324.573
1370,214.93,1.5,0.7,0.707,13.0,medium,normal,424.127
1371,231.94,-1.9,,0.936,4.0,low,normal,579.732
1372,53.87,-1.1,2.0,0.447,18.0,low,normal,116.369
1373,204.11,0.6,9.87,0.71,10.0,high,priority,883.942
1374,94.73,-3.3,5.32,0.724,6.0,low,normal,373.262
1375,276.84,1.1,4.27,0.76,14.0,medium,normal,672.277
1376,195.03,1.8,1.44,0.69,0.0,low,normal,354.441
1377,219.22,1.9,3.37,0.956,6.0,low,priority,501.038
1378,82.77,2.2,,0.559,10.0,high,normal,483.614
1379,208.38,-1.6,2.77,0.779,17.0,medium,normal,475.664
1380,211.96,-0.5,0.97,0.796,19.0,low,normal,261.119
1381,78.01,-1.4,0.35,0.816,7.0,low,priority,186.433
1382,188.0,-2.4,1.71,0.368,18.0,high,normal,436.856
1383,215.12,-2.8,1.88,0.488,15.0,medium,priority,580.008
1384,140.12,,2.82,0.925,14.0,low,normal,294.993
1385,129.71,-4.4,1.67,0.808,16.0,high,normal,493.648
1386,278.7,-0.3,6.87,0.632,23.0,low,priority,659.632
1387,123.29,1.5,4.12,0.778,13.0,medium,normal,401.743
1388,,5.4,3.03,0.654,13.0,high,normal,622.979
1389,187.65,2.4,6.2,0.642,0.0,low,normal,559.627
1390,143.85,-0.5,7.13,0.983,1.0,low,normal,392.833
1391,74.58,1.0,0.87,0.549,3.0,high,normal,181.764
1392,109.78,-2.2,6.78,0.648,13.0,high,normal,494.221
1393,265.36,0.3,4.44,0.343,,high,normal,609.083
1394,238.7,-1.9,1.8,0.684,12.0,high,priority,640.652
1395,114.38,2.7,0.0,0.5,22.0,medium,normal,286.546
1396,132.99,3.8,6.04,0.624,18.0,low,normal,545.57
1397,76.45,-0.1,5.93,0.399,5.0,low,normal,216.697
1398,211.19,1.6,6.33,0.474,20.0,medium,normal,581.418
1399,134.03,-0.4,0.0,0.815,15.0,medium,priority,219.356
1400,171.68,4.0,0.32,0.823,18.0,low,priority,386.774
1401,102.98,-1.3,1.96,0.36,5.0,medium,normal,261.421
1402,150.55,-1.0,,0.828,13.0,medium,normal,440.039
1403,222.3,6.7,,0.95,4.0,medium,normal,641.193
1404,367.97,-0.9,1.1,0.84,2.0,low,normal,493.249
1405,79.49,-0.9,7.12,0.395,3.0,medium,normal,300.699
1406,85.62,-1.5,3.14,0.633,15.0,high,normal,299.591
1407,203.19,1.5,7.81,0.904,8.0,medium,normal,602.002
1408,200.98,-0.2,2.29,0.315,3.0,low,normal,343.515
1409,118.53,-0.1,9.14,0.883,6.0,low,normal,392.019
1410,298.47,2.4,3.51,0.968,3.0,medium,priority,703.741
1411,80.99,-1.4,0.76,0.802,11.0,high,normal,225.778
1412,214.69,,2.67,0.793,3.0,medium,priority,499.121
1413,82.12,0.5,4.2,0.475,9.0,medium,normal,251.324
1414,82.19,3.3,3.94,0.536,19.0,low,normal,332.948
1415,215.62,3.4,8.19,0.841,12.0,high,priority,1021.406
1416,111.65,-0.9,1.11,0.368,8.0,low,priority,221.806
1417,159.35,0.1,0.0,0.513,16.0,high,priority,253.312
1418,121.13,0.5,1.91,0.656,16.0,medium,priority,276.889
1419,37.47,0.1,8.85,0.494,17.0,medium,priority,236.538
1420,,-1.9,4.44,0.433,19.0,high,normal,328.034
1421,203.07,-0.5,5.61,0.677,3.0,low,normal,419.826
1422,130.66,-0.9,6.04,0.659,20.0,low,normal,350.275
1423,48.5,0.8,2.47,0.606,23.0,medium,normal,158.734
1424,99.44,0.8,4.55,0.784,11.0,high,normal,327.651
1425,260.41,3.1,5.77,0.603,20.0,low,normal,707.508
1426,176.29,0.6,0.1,0.94,4.0,high,priority,268.924
1427,118.21,-2.0,2.82,0.546,,low,priority,318.635
1428,269.94,1.0,3.23,0.794,3.0,low,priority,516.18
1429,53.16,-2.5,5.31,0.388,,high,priority,368.985
1430,154.53,-0.2,8.28,0.221,19.0,medium,normal,447.299
1431,85.51,1.6,3.17,0.669,19.0,medium,normal,270.293
1432,236.35,-1.4,4.79,0.931,14.0,medium,normal,616.208
1433,135.54,-3.5,0.81,0.882,12.0,medium,normal,390.515
1434,143.06,-1.5,8.65,0.744,14.0,medium,normal,587.097
1435,217.34,-3.3,7.2,0.686,22.0,medium,normal,718.755
1436,57.2,-2.1,3.15,0.881,0.0,low,normal,207.713
1437,146.98,1.6,4.31,0.681,18.0,medium,normal,400.686
1438,76.93,0.3,4.36,0.904,19.0,medium,normal,207.713
1439,95.91,0.4,0.0,0.717,17.0,low,normal,117.093
1440,137.95,-1.5,5.64,0.786,23.0,low,normal,388.688
1441,114.61,1.8,5.53,0.574,22.0,low,normal,377.068
1442,89.36,-4.1,2.42,0.852,9.0,medium,priority,433.47
1443,208.48,,0.0,0.887,4.0,high,normal,334.392
1444,,-0.2,4.87,0.663,13.0,high,normal,403.072
1445,114.89,2.6,0.56,0.554,20.0,low,normal,262.961
1446,326.72,1.6,4.95,0.372,20.0,low,priority,755.952
1447,142.07,-5.2,9.25,0.755,5.0,low,normal,665.786
1448,220.29,1.3,6.52,0.849,8.0,medium,normal,584.61
1449,145.7,-4.5,4.51,0.967,18.0,high,priority,645.378
1450,96.39,-2.1,0.66,0.603,5.0,low,normal,189.684
1451,229.46,1.0,1.84,0.451,1.0,low,priority,414.152
1452,44.6,0.4,2.26,0.534,8.0,high,normal,141.228
1453,111.3,5.0,6.17,0.667,5.0,low,normal,561.82
1454,132.53,1.8,3.76,0.91,5.0,medium,normal,386.582
1455,144.04,-3.7,3.09,0.657,12.0,medium,priority,559.91
1456,196.21,-2.8,2.32,0.627,5.0,low,normal,427.139
1457,113.83,-3.0,2.08,0.561,12.0,medium,priority,396.811
1458,82.11,0.2,8.75,0.591,9.0,medium,normal,340.704
1459,137.95,0.4,0.49,0.806,9.0,high,priority,277.072
1460,128.82,-0.7,4.28,0.315,3.0,low,priority,317.249
1461,66.27,-1.1,7.08,0.84,22.0,medium,priority,276.48
1462,133.51,4.6,7.36,0.63,3.0,low,normal,618.188
1463,43.09,2.4,2.62,0.777,20.0,low,normal,185.597
1464,184.73,-0.7,4.61,0.565,0.0,low,normal,367.852
1465,147.16,3.5,0.0,0.89,11.0,medium,normal,388.322
1466,165.36,2.2,2.3,0.468,1.0,medium,normal,396.082
1467,169.56,-0.4,6.61,0.345,20.0,low,normal,373.963
1468,150.15,-5.1,5.74,0.911,23.0,low,normal,582.454
1469,133.63,-0.7,3.27,0.897,18.0,low,normal,264.307
1470,175.69,1.2,3.23,0.666,10.0,medium,normal,429.086
1471,189.18,-0.5,1.2,0.303,10.0,low,normal,323.714
1472,292.08,,1.34,0.704,19.0,medium,normal,524.825
1473,223.96,-3.2,1.69,0.341,14.0,high,normal,624.261
1474,101.77,0.6,0.24,0.525,21.0,low,normal,140.522
1475,221.93,1.3,8.33,0.612,19.0,medium,normal,666.249
1476,176.4,-1.3,0.0,0.866,16.0,high,normal,347.3
1477,54.23,-3.0,0.0,0.896,0.0,low,normal,194.513
1478,97.99,2.1,7.45,0.65,,medium,normal,442.264
1479,159.52,-3.5,7.73,0.378,13.0,medium,normal,719.629
1480,215.7,2.3,5.43,0.728,0.0,medium,normal,600.557
1481,216.63,0.2,2.16,0.594,15.0,medium,normal,377.169
1482,130.47,0.9,0.0,0.686,1.0,low,normal,176.674
1483,208.42,-2.6,1.0,0.298,10.0,medium,normal,442.438
1484,63.25,-4.3,6.81,0.747,16.0,high,normal,517.387
1485,217.58,-2.6,0.53,0.887,22.0,medium,normal,400.47
1486,172.53,-0.5,2.16,0.723,21.0,medium,,288.921
1487,103.6,0.9,5.02,0.984,21.0,medium,priority,339.367
1488,203.08,1.7,0.4,0.723,,low,normal,317.293
1489,41.14,-1.8,0.0,0.562,2.0,low,normal,141.471
1490,200.92,-2.6,0.0,0.818,6.0,low,normal,357.255
1491,74.98,1.5,3.09,0.575,4.0,medium,normal,248.176
1492,,-0.4,4.48,0.603,14.0,low,normal,340.422
1493,48.12,2.7,4.86,0.551,3.0,low,normal,310.024
1494,218.53,-3.9,2.94,0.594,16.0,medium,normal,622.778
1495,92.19,2.6,9.15,0.646,14.0,low,normal,531.049
1496,196.32,-2.1,3.55,0.648,20.0,low,normal,441.592
1497,145.39,-1.5,0.0,0.274,22.0,low,normal,228.518
1498,208.35,2.2,0.0,0.897,8.0,low,normal,352.077
1499,99.85,-0.7,3.56,0.822,18.0,low,normal,234.421
1500,255.64,3.6,5.39,0.748,4.0,low,normal,700.212
1501,93.55,6.2,5.87,0.508,10.0,medium,normal,728.882
1502,107.53,1.6,2.76,0.897,4.0,low,normal,314.126
1503,70.7,-2.4,1.85,0.711,9.0,high,normal,304.696
1504,255.26,0.7,2.14,0.603,20.0,low,normal,410.568
1505,90.67,-2.8,1.77,0.874,10.0,high,normal,357.68
1506,68.51,-1.0,4.55,0.886,4.0,low,normal,225.05
1507,,-1.7,1.58,0.693,5.0,medium,priority,173.045
1508,127.58,-0.1,2.3,0.815,17.0,high,normal,293.265
1509,153.76,4.2,7.75,0.502,5.0,low,normal,672.14
1510,55.49,2.7,0.0,0.815,18.0,medium,normal,217.459
1511,201.61,4.3,7.54,0.666,6.0,low,normal,747.129
1512,243.58,0.5,1.46,0.331,5.0,low,normal,360.299
1513,110.44,0.8,3.13,0.784,5.0,low,normal,224.272
1514,177.36,2.7,0.0,0.862,6.0,medium,normal,341.642
1515,118.96,0.4,6.02,0.898,20.0,low,normal,308.734
1516,135.67,1.2,7.62,0.928,12.0,high,normal,581.656
1517,86.23,1.7,3.75,0.426,15.0,medium,normal,317.378
1518,306.23,3.7,1.54,0.757,,medium,normal,700.011
1519,182.36,2.6,0.64,0.683,13.0,medium,priority,452.315
1520,264.68,1.7,4.69,0.795,7.0,low,normal,598.435
